shop_id,shop_name,district,biz_type,is_chain,has_agreement,pay_gmv_30d,writeoff_gmv_30d,writeoff_rate_30d,refund_amount_30d,settlement_amount_30d,commission_30d,payment_fee_30d,rebate_amount_30d,pay_gmv_30d_median,writeoff_rate_30d_median,quadrant,priority_rank
18,长宁区烧烤店_18,长宁区,烧烤,0,0,31646.97,26123.34,0.8255,5523.63,19789.88,653.09,156.74,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,1
13,浦东新区海鲜店_13,浦东新区,海鲜,1,0,31637.24,25041.38,0.7915,6595.86,17669.25,626.05,150.27,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,2
34,徐汇区海鲜店_34,徐汇区,海鲜,1,0,28127.34,22436.93,0.7977,5690.41,16050.96,560.93,134.63,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,3
3,静安区火锅店_3,静安区,火锅,0,0,27657.02,21869.94,0.7908,5787.08,15404.91,546.76,131.21,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,4
25,浦东新区地方菜店_25,浦东新区,地方菜,1,0,26955.46,21631.77,0.8025,5323.69,15637.51,540.81,129.78,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,5
6,长宁区自助餐店_6,长宁区,自助餐,0,0,26362.82,21867.36,0.8295,4495.46,16694.03,546.69,131.22,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,6
1,浦东新区火锅店_1,浦东新区,火锅,0,0,26274.71,21107.82,0.8034,5166.89,15286.59,527.70,126.63,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,7
10,徐汇区烧烤店_10,徐汇区,烧烤,0,0,25546.56,20524.13,0.8034,5022.43,14865.44,513.11,123.15,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,8
30,长宁区烧烤店_30,长宁区,烧烤,0,0,25288.50,21361.17,0.8447,3927.33,16771.63,534.02,128.16,0.00,24581.530000,0.7878,Q1 高GMV·高核销（核心优质）,9
9,静安区火锅店_9,静安区,火锅,0,1,37832.34,29707.11,0.7852,8125.23,20660.95,742.69,178.24,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,10
14,黄浦区海鲜店_14,黄浦区,海鲜,0,0,35808.03,27518.65,0.7685,8289.38,18376.21,687.97,165.06,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,11
35,杨浦区烧烤店_35,杨浦区,烧烤,0,0,30519.71,23317.43,0.7640,7202.28,15392.29,582.95,139.88,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,12
36,长宁区海鲜店_36,长宁区,海鲜,1,0,30044.74,22535.25,0.7501,7509.49,14327.19,563.41,135.24,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,13
20,黄浦区海鲜店_20,黄浦区,海鲜,0,0,29323.88,23062.67,0.7865,6261.21,16086.53,576.58,138.38,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,14
11,杨浦区自助餐店_11,杨浦区,自助餐,1,0,28517.69,20819.59,0.7301,7698.10,12476.11,520.47,124.91,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,15
28,徐汇区自助餐店_28,徐汇区,自助餐,0,0,27576.56,21276.90,0.7716,6299.66,14317.67,531.92,127.65,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,16
21,静安区海鲜店_21,静安区,海鲜,0,0,27092.83,20824.59,0.7686,6268.24,13910.78,520.62,124.93,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,17
23,杨浦区火锅店_23,杨浦区,火锅,0,0,26825.04,19269.69,0.7183,7555.35,11116.99,481.75,115.62,0.00,24581.530000,0.7878,Q2 高GMV·低核销（履约短板）,18
4,徐汇区自助餐店_4,徐汇区,自助餐,0,0,22889.71,18626.13,0.8137,4263.58,13785.12,465.66,111.75,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,19
5,杨浦区地方菜店_5,杨浦区,地方菜,0,0,22272.85,18124.93,0.8138,4147.92,13415.15,453.13,108.74,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,20
33,静安区自助餐店_33,静安区,自助餐,0,1,21720.62,18478.20,0.8507,3242.42,14662.95,461.93,110.87,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,21
12,长宁区烧烤店_12,长宁区,烧烤,1,0,20799.84,16592.50,0.7977,4207.34,11870.80,414.80,99.54,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,22
22,徐汇区火锅店_22,徐汇区,火锅,0,0,19755.88,15567.69,0.7880,4188.19,10896.89,389.17,93.41,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,23
19,浦东新区地方菜店_19,浦东新区,地方菜,0,0,19514.69,15812.69,0.8103,3702.00,11620.48,395.33,94.88,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,24
31,浦东新区地方菜店_31,浦东新区,地方菜,1,0,18734.33,15309.69,0.8172,3424.64,11410.45,382.73,91.86,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,25
26,黄浦区自助餐店_26,黄浦区,自助餐,1,0,17796.15,14392.27,0.8087,3403.88,10542.24,359.81,86.37,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,26
15,静安区海鲜店_15,静安区,海鲜,0,0,16061.33,13568.97,0.8448,2492.36,10655.98,339.23,81.43,0.00,24581.530000,0.7878,Q3 低GMV·高核销（增长潜力）,27
27,静安区烧烤店_27,静安区,烧烤,0,0,23874.56,18679.36,0.7824,5195.20,12905.09,466.99,112.06,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,28
8,黄浦区自助餐店_8,黄浦区,自助餐,0,0,23727.66,18296.38,0.7711,5431.28,12297.92,457.40,109.77,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,29
2,黄浦区自助餐店_2,黄浦区,自助餐,0,1,22619.52,16091.08,0.7114,6528.44,9063.82,402.28,96.53,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,30
7,浦东新区烧烤店_7,浦东新区,烧烤,0,0,22605.47,17186.31,0.7603,5419.16,11234.33,429.67,103.13,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,31
32,黄浦区自助餐店_32,黄浦区,自助餐,0,0,21775.21,16985.95,0.7801,4789.26,11670.14,424.69,101.93,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,32
17,杨浦区火锅店_17,杨浦区,火锅,1,0,21503.20,16935.76,0.7876,4567.44,11843.34,423.38,101.62,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,33
29,杨浦区烧烤店_29,杨浦区,烧烤,0,0,20877.57,15841.02,0.7588,5036.55,10313.42,396.03,95.04,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,34
16,徐汇区烧烤店_16,徐汇区,烧烤,0,0,20378.07,14904.60,0.7314,5473.47,8969.09,372.62,89.42,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,35
24,长宁区海鲜店_24,长宁区,海鲜,0,0,18212.82,13606.89,0.7471,4605.93,8579.13,340.17,81.64,0.00,24581.530000,0.7878,Q4 低GMV·低核销（治理/淘汰）,36
